name			E_u		A			g
13CO13-12		481.02  1.924e-04	27
13CO12-11		412.33  1.517e-04	25
13CO11-10		348.92	1.170e-04	23
13CO10-9		290.79	8.797e-05	21
13CO9-8			237.93	6.406e-05	19
13CO8-7	        190.36	0.00004487	17
13CO7-6  		148.06	0.00002991	15
13CO6-5	        111.05	0.00001868	13
13CO5-4  		79.33	0.00001067	11
B2BCO36-35		3669	0.00364	   	73
CI3P1-3P0		23.62	7.88e-8		3
CI3P2-3P1		62.462	2.65e-7		5
CI3P2-3P0		62.462 	1.810e-14 	5
CII2P3_2-2P1_2	91.21	2.3e-6		4
CO4-3			55.32	0.000006126	9
CO5-4			82.97	0.00001221	11
CO6-5			116.16	0.00002137	13
CO7-6			154.87	0.00003422	15
CO8-7			199.11	0.00005134	17
CO9-8			248.88	0.0000733	19
CO10-9			304.16	0.0001006	21
CO11-10			364.97	0.0001339	23
CO12-11			431.29	0.0001735	25
CO13-12			503.13	0.00022		27
CO14-13			580.49	2.739e-04	29
CO15-14			663.35	3.354e-04	31
CO16-15			751.72	4.050e-04	33
CO17-16			845.59	4.829e-04	35
CO18-17			944.97	5.695e-04	37
CO19-18			1049.84	6.650e-04	39
CO20-19			1160.20	7.695e-04	41
CO21-20			1276.05	8.833e-04	43
CO22-21			1397.38	1.006e-03	45
CO23-22			1524.19	1.139e-03	47
CO24-23			1656.47	1.281e-03	49
CO25-24			1794.23	1.432e-03	51
CO26-25			1937.44	1.592e-03	53
CO27-26			2086.12	1.761e-03	55
CO28-27			2240.24	1.940e-03	57
CO29-28			2399.82	2.126e-03	59
CO30-29			2564.83	2.321e-03	61
CO31-30			2735.28	2.524e-03	63
CO32-31			2911.15	2.735e-03	65
CO33-32			3092.45	2.952e-03	67
CO34-33			3279.15	3.175e-03	69
CO35-34			3471.27	3.404e-03	71
CO36-35			3668.78	3.638e-03	73
CO37-36			3871.69	3.878e-03	75
CO38-37			4079.98	4.120e-03	77
CO39-38			4293.64	4.365e-03	79
CO40-39			4512.67 4.613e-03	81
CO41-40			4737.13 4.862e-03	83
CO42-41			4966.88	5.112e-03	85
CO43-42			5201.97	5.360e-03	87
CO44-43			5442.40	5.607e-03	89
CO45-44			5688.14 5.851e-03	91
CO46-45 		5939.21	6.091e-03	93
CO47-46			6195.57	6.326e-03	95
CO48-47			6457.23	6.556e-03	97
CO49-48 		6724.18	6.778e-03	99
COB2B26-25		1937	0.00159		53
COR1A25-24		1794	0.00143		51
HCO+6-5			89.88	0.012711	13
HCO+7-6			119.84	0.020402	15
HCO+8-7			154.07	0.030711	17
HCO+9-8			192.58	0.044006	19
HCO+10-9		235.37	0.060667	21
HCO+11-10		282.43	0.08107		23
HCO+12-11		333.77	0.10562		25
HCO+13-12 		389.38 	1.3467e-01	27
HCO+14-13 		449.26 	1.6860e-01 	29
HCO+15-14 		513.41 	2.0777e-01	31
HCO+16-15		581.83 	2.5255e-01	33
HCO+17-16 		654.52 	3.0338e-01	35
HCO+18-17		731.48 	3.6050e-01	37
HCO+19-18 		812.69 	4.2444e-01	39
HCO+20-19 		898.17 	4.9549e-01	41
HCO+21-20		987.91 	5.7405e-01	43
HCO+22-21		1081.91 6.6034e-01	45
HCO+23-22 		1180.16 7.5493e-01	47
HCO+24-23 		1282.67 8.5794e-01	49
HCO+25-24 		1389.43 9.6990e-01	51
HCO+26-25 		1500.43 1.0912		53
HCO+27-26 		1615.69 1.2221 		55
HCO+28-27 		1735.18 1.3630 		57
HCO+29-28 		1858.92 1.5144 		59
HCO+30-29		1986.89 1.6763 		61
NII3P1-3P0		0		0			0
NII3P2-3P1		0		0			0
NII_122			188.28	7.5e-06		5
NII_205			70.10	0 			3
Hotwater		0		0			0
o-H2O5_32-5_05	732.1 	3.821e-02	33
o-H2O8_27-7_16 	1274.2 	1.897 		51
o-H2O10_29-10_110	1861.3 	5.428e-01 	63
o-H2O9_09-8_18 	1323.9 	2.480 		57
o-H2O7_52-8_27 	1524.9 	7.476e-04 	45
o-H2O4_32-3_21 	550.4 	1.374		27
o-H2O5_41-6_16 	878.2 	2.736e-04	33
o-H2O9_18-9_09	1552.6 	4.183e-01 	57
o-H2O8_18-7_07 	1070.7 	1.751 		51
o-H2O6_61-6_52 	1503.6 	3.533e-01	39
o-H2O7_61-7_52	1749.9 	5.828e-01	45
o-H2O6_25-5_14 	795.5 	9.390e-01 	39
o-H2O7_16-6_25 	1013.2 	9.508e-01 	45
o-H2O3_30-2_21 	410.7 	1.243 		21
o-H2O3_30-3_03	410.7 	8.505e-03	21
o-H2O8_27-8_18 	1274.2 	3.278e-01 	51
o-H2O7_07-6_16	843.5 	1.157 		45
o-H2O7_25-6_34 	1125.7 	2.579e-01 	45
o-H2O3_21-2_12 	305.3 	3.318e-01	21
o-H2O8_54-8_45 	1805.9 	5.758e-01	51
o-H2O6_52-6_43 	1278.5 	3.969e-01 	39
o-H2O5_50-5_41 	1067.7 	2.469e-01 	33
o-H2O7_52-7_43 	1524.9 	4.648e-01 	45
o-H2O4_23-3_12 	432.2 	4.838e-01 	27
