# color corrections for SPIRE
alpha   psrcPSW	psrcPMW	psrcPLW	extdPSW	extdPMW	extdPLW
-4      0.9800	0.9791	0.9333	0.9401	0.9403	0.8689
-3.5	0.9884	0.9875	0.9525	0.9546	0.9545	0.8971
-3      0.9948	0.9940	0.9687	0.9674	0.9672	0.9231
-2.5	0.9992	0.9986	0.9817	0.9784	0.9782	0.9467
-2      1.0016	1.0011	0.9913	0.9875	0.9873	0.9675
-1.5	1.0019	1.0016	0.9974	0.9948	0.9946	0.9854
-1      1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
-0.5	0.9960	0.9963	0.9990	1.0032	1.0034	1.0113
0       0.9899	0.9906	0.9945	1.0043	1.0047	1.0190
0.5	    0.9818	0.9829	0.9864	1.0033	1.0039	1.0231
1       0.9716	0.9732	0.9751	1.0002	1.0011	1.0235
1.5	    0.9594	0.9615	0.9606	0.9949	0.9962	1.0203
2       0.9454	0.9481	0.9432	0.9876	0.9892	1.0135
2.5	    0.9296	0.9329	0.9230	0.9782	0.9802	1.0033
3       0.9121	0.9161	0.9005	0.9668	0.9693	0.9897
3.5	    0.8930	0.8978	0.8757	0.9535	0.9566	0.9730
4       0.8725	0.8780	0.8492	0.9383	0.9420	0.9535
4.5	    0.8507	0.8571	0.8210	0.9214	0.9258	0.9314
5       0.8278	0.8350	0.7916	0.9030	0.9080	0.9069
