wavelength(um)  aperture(arcsec)
           3.6               7.2
           4.5               7.2
           5.8               7.2
           8.0               7.2
           8.5               7.2
           9.0               7.2
           9.7               7.2
          10.0               7.2
          10.5               7.2
          11.0               7.2
          16.0              20.4
          20.0              20.4
          24.0              20.4
          35.0              20.4
          70.0              24.5
         100.0              24.5
         160.0              24.5
         250.0              24.5
         350.0              24.5
         500.0              24.5
         850.0              24.5
