    Model#             age              Cs          Omega0           tstar       R_env_max       theta_cav  rho_cav_center    rho_cav_edge           rstar      M_disk_dot          M_disk            beta            h100         rho_cav           d_sub       M_env_dot           R_inf           R_cen           mstar      percentile        absolute        relative      view_angle      total_mass 
    Model1    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    1.000000e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    4.481317e-02 
    Model2    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    1.000000e+04    1.500000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    4.715785e-02 
    Model3    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    1.000000e+04    1.500000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    3.900000e+01    4.715785e-02 
    Model4    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    1.000000e+04    1.500000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    3.800000e+01    4.715785e-02 
    Model5    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    1.000000e+04    1.500000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    3.700000e+01    4.715785e-02 
    Model6    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    1.000000e+04    1.500000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    3.600000e+01    4.715785e-02 
    Model7    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    1.000000e+04    1.500000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    3.500000e+01    4.715785e-02 
    Model8    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    1.000000e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    8.000000e+01    4.481317e-02 
    Model9    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    1.000000e+04    3.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    8.000000e+01    3.899953e-02 
   Model10    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    1.000000e+04    4.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    8.000000e+01    3.243167e-02 
