  Wavelength(um)          Flux(Jy)         Error(Jy)
         54.8075           58.0719          0.926830
         54.8270           58.5947           1.07379
         54.8465           58.3850           1.16958
         54.8660           57.0513          0.982716
         54.8855           59.6966           1.05706
         54.9050           58.1666           1.45252
         54.9245           59.8375          0.917434
         54.9440           58.6062           1.36537
         54.9635           59.1700           1.62525
         54.9830           58.0313           1.16781
         55.0025           59.5520           1.24531
         55.0220           58.7152           1.55409
         55.0415           61.0969           1.27271
         55.0610           58.7560           1.70112
         55.0805           59.3221           1.45946
         55.1000           61.2860           1.15300
         55.1196           60.4751           1.60706
         55.1391           59.7056           1.38094
         55.1586           59.6014           1.45290
         55.1781           59.2630           1.23466
         55.1976           58.8180           1.95460
         55.2171           60.9882           1.50760
         55.2366           59.9663           1.44881
         55.2561           60.3267           1.41782
         55.2756           62.1508           1.94711
         55.2951           59.8794           1.33096
         55.3147           59.5871           1.84630
         55.3342           60.1162           2.00730
         55.3537           59.6953           1.27984
         55.3732           61.2264           1.40179
         55.3927           63.5620           1.43170
         55.4122           59.8775           1.94807
         55.4317           61.9517           2.01151
         55.4513           60.6165           1.48242
         55.4708           61.2002           1.59936
         55.4903           60.2328           1.76514
         55.5098           61.6117          0.970555
         55.5293           61.8001           2.64769
         55.5489           61.6998           1.70892
         55.5684           61.4719           1.52743
         55.5879           61.8160           1.94345
         55.6074           63.0395           1.64844
         55.6269           63.0817           1.51756
         55.6465           62.1347           2.64804
         55.6660           62.5977           1.73836
         55.6855           62.7170           1.18941
         55.7050           62.3570           2.36771
         55.7246           64.2036           1.26828
         55.7441           64.8515           1.33555
         55.7636           62.5676           2.45351
         55.7832           63.7406           1.97322
         55.8027           63.5720           1.27789
         55.8222           63.1181           2.38216
         55.8417           61.2900           1.78172
         55.8613           64.2456           1.54935
         55.8808           63.5458           2.58030
         55.9003           64.9093           1.26286
         55.9199           64.3933           2.28898
         55.9394           64.5372           2.27413
         55.9589           66.0063           1.88161
         55.9785           63.2235           1.89114
         55.9980           63.9076           1.95765
         56.0175           65.0644           1.82444
         56.0371           64.1989           2.01927
         56.0566           65.0270           2.15782
         56.0761           65.4876           1.83780
         56.0957           65.0945           2.40838
         56.1152           64.8594           2.07313
         56.1348           66.4921           1.68555
         56.1543           65.1443           1.64583
         56.1738           66.6320           1.69323
         56.1934           65.6219           2.05134
         56.2129           65.1744           1.57157
         56.2325           64.7006           1.91607
         56.2520           67.4517           1.85325
         56.2715           67.3607           1.49261
         56.2911           67.5597           2.32708
         56.3106           69.3317           1.51283
         56.3302           66.3920           2.05693
         56.3497           67.3299           2.42097
         56.3693           66.0084           1.59194
         56.3888           65.1361           2.08192
         56.4084           67.6154           1.96450
         56.4279           67.0414           1.80916
         56.4475           67.3740           2.05359
         56.4670           67.6123           1.98499
         56.4866           67.6073           1.79436
         56.5061           69.2172           1.53908
         56.5257           69.5214           1.52280
         56.5452           67.7045           1.58953
         56.5648           70.9157           1.63167
         56.5843           67.8846           2.01803
         56.6039           68.3247           1.43060
         56.6234           69.9953           1.14022
         56.6430           68.5431           2.13787
         56.6625           69.9272           1.56649
         56.6821           69.5135           1.69861
         56.7016           69.5772           1.98710
         56.7212           70.4147           1.21718
         56.7408           70.3608           1.72356
         56.7603           68.7784           1.76156
         56.7799           68.5081           1.37406
         56.7994           71.6391           1.21005
         56.8190           69.7312           1.83830
         56.8386           68.7798           1.16555
         56.8581           70.6552           1.37905
         56.8777           69.5370           1.52809
         56.8972           69.8361           1.26180
         56.9168           71.2026           1.78383
         56.9364           67.9570           1.60664
         56.9559           67.6181           1.32284
         56.9755           71.6523           1.31138
         56.9951           68.8236           1.50673
         57.0146           68.6465           1.25620
         57.0342           71.3700           1.47138
         57.0538           68.5563           1.27708
         57.0733           68.8904           1.25518
         57.0929           72.1919           1.56974
         57.1125           71.2198           1.45078
         57.1320           68.5815           1.30540
         57.1516           72.3770           1.42424
         57.1712           69.7334           1.12572
         57.1907           70.0062           1.02237
         57.2103           69.6718           1.16832
         57.2299           70.4425           1.35778
         57.2494           69.0103           1.31465
         57.2690           69.5300           1.69483
         57.2886           70.9431           1.21448
         57.3082           67.9097           1.11348
         57.3277           71.6973           1.19940
         57.3473           69.2799           1.45333
         57.3669           69.8823           1.19319
         57.3865           71.3211           1.72865
         57.4060           68.8969           1.49460
         57.4256           69.7017           1.49600
         57.4452           69.7432           1.33613
         57.4648           70.5067           1.39932
         57.4843           70.9746           1.34548
         57.5039           71.2421           1.69164
         57.5235           70.5600           1.64842
         57.5431           70.1909           1.63845
         57.5627           71.3796           1.60719
         57.5822           70.1093           1.64435
         57.6018           70.4402           1.83158
         57.6214           71.0997           1.77373
         57.6410           70.7648           2.07309
         57.6606           71.6013           1.88028
         57.6802           71.9449           1.64542
         57.6997           71.1739           2.04662
         57.7193           73.9369           2.21146
         57.7389           73.1856           1.94314
         57.7585           72.3241           1.93755
         57.7781           72.9858           2.01097
         57.7977           72.2072           2.59777
         57.8173           72.7243           2.13712
         57.8368           72.0825           2.13720
         57.8564           73.6017           2.33446
         57.8760           72.7342           2.15346
         57.8956           74.7574           2.05878
         57.9152           73.8707           2.33844
         57.9348           73.9954           2.11795
         57.9544           75.0947           1.84342
         57.9740           73.9130           2.89659
         57.9936           74.8983           2.13174
         58.0132           74.8687           2.06885
         58.0328           76.0905           2.82314
         58.0523           75.0430           2.23040
         58.0719           75.1849           2.39632
         58.0915           76.4926           2.45909
         58.1111           76.5904           2.47517
         58.1307           75.7599           2.16894
         58.1503           76.4845           1.83412
         58.1699           76.8617           2.87757
         58.1895           76.1652           2.61412
         58.2091           75.7409           2.21225
         58.2287           74.9866           2.18876
         58.2483           75.8894           2.62238
         58.2679           76.0356           2.24811
         58.2875           76.2676           3.27671
         58.3071           75.3818           2.77744
         58.3267           76.8795           2.52025
         58.3463           76.5145           2.65576
         58.3659           76.2865           2.01476
         58.3855           77.3708           2.09495
         58.4051           77.4283           3.58202
         58.4247           75.4557           3.63812
         58.4443           75.9902           2.00510
         58.4639           76.1189           3.37596
         58.4835           76.7976           2.27277
         58.5031           76.5073           2.34317
         58.5227           78.0236           3.51359
         58.5423           78.5570           2.66585
         58.5620           79.8293           2.18256
         58.5816           76.4000           3.51431
         58.6012           77.1749           2.64614
