       Wave (um)         Flux (Jy)  Uncertainty (Jy)
         54.8075           58.2480          0.926830
         54.8270           58.2945           1.07379
         54.8465           58.4621           1.16958
         54.8660           58.5522          0.982716
         54.8855           58.5126           1.05706
         54.9050           58.6507           1.45252
         54.9245           58.8364          0.917434
         54.9440           58.9411           1.36537
         54.9635           59.0429           1.62525
         54.9830           59.1374           1.16781
         55.0025           59.2350           1.24531
         55.0220           59.3444           1.55409
         55.0415           59.4378           1.27271
         55.0610           59.5504           1.70112
         55.0805           59.6495           1.45946
         55.1000           59.7341           1.15300
         55.1196           59.8005           1.60706
         55.1391           59.8555           1.38094
         55.1586           59.9057           1.45290
         55.1781           59.9867           1.23466
         55.1976           60.0682           1.95460
         55.2171           60.1558           1.50760
         55.2366           60.2424           1.44881
         55.2561           60.3250           1.41782
         55.2756           60.3856           1.94711
         55.2951           60.4636           1.33096
         55.3147           60.5336           1.84630
         55.3342           60.6105           2.00730
         55.3537           60.7117           1.27984
         55.3732           60.8197           1.40179
         55.3927           60.9241           1.43170
         55.4122           61.0395           1.94807
         55.4317           61.1260           2.01151
         55.4513           61.2192           1.48242
         55.4708           61.3160           1.59936
         55.4903           61.4231           1.76514
         55.5098           61.5421          0.970555
         55.5293           61.6959           2.64769
         55.5489           61.8440           1.70892
         55.5684           61.9922           1.52743
         55.5879           62.1416           1.94345
         55.6074           62.2791           1.64844
         55.6269           62.4002           1.51756
         55.6465           62.5401           2.64804
         55.6660           62.6639           1.73836
         55.6855           62.8017           1.18941
         55.7050           62.9400           2.36771
         55.7246           63.0701           1.26828
         55.7441           63.1931           1.33555
         55.7636           63.3027           2.45351
         55.7832           63.3923           1.97322
         55.8027           63.4860           1.27789
         55.8222           63.5713           2.38216
         55.8417           63.6704           1.78172
         55.8613           63.7779           1.54935
         55.8808           63.9085           2.58030
         55.9003           64.0241           1.26286
         55.9199           64.1479           2.28898
         55.9394           64.2604           2.27413
         55.9589           64.3629           1.88161
         55.9785           64.4802           1.89114
         55.9980           64.5982           1.95765
         56.0175           64.7090           1.82444
         56.0371           64.8416           2.01927
         56.0566           64.9799           2.15782
         56.0761           65.1250           1.83780
         56.0957           65.2736           2.40838
         56.1152           65.4241           2.07313
         56.1348           65.5698           1.68555
         56.1543           65.7218           1.64583
         56.1738           65.8488           1.69323
         56.1934           65.9858           2.05134
         56.2129           66.1313           1.57157
         56.2325           66.2790           1.91607
         56.2520           66.4187           1.85325
         56.2715           66.5627           1.49261
         56.2911           66.6956           2.32708
         56.3106           66.8133           1.51283
         56.3302           66.9259           2.05693
         56.3497           67.0335           2.42097
         56.3693           67.1438           1.59194
         56.3888           67.2703           2.08192
         56.4084           67.4075           1.96450
         56.4279           67.5656           1.80916
         56.4475           67.7277           2.05359
         56.4670           67.8899           1.98499
         56.4866           68.0473           1.79436
         56.5061           68.2118           1.53908
         56.5257           68.3807           1.52280
         56.5452           68.5455           1.58953
         56.5648           68.6926           1.63167
         56.5843           68.8564           2.01803
         56.6039           69.0054           1.43060
         56.6234           69.1325           1.14022
         56.6430           69.2521           2.13787
         56.6625           69.3522           1.56649
         56.6821           69.4443           1.69861
         56.7016           69.5295           1.98710
         56.7212           69.5845           1.21718
         56.7408           69.6067           1.72356
         56.7603           69.6402           1.76156
         56.7799           69.6704           1.37406
         56.7994           69.6719           1.21005
         56.8190           69.7019           1.83830
         56.8386           69.7041           1.16555
         56.8581           69.6838           1.37905
         56.8777           69.6906           1.52809
         56.8972           69.6920           1.26180
         56.9168           69.6781           1.78383
         56.9364           69.6927           1.60664
         56.9559           69.7105           1.32284
         56.9755           69.7342           1.31138
         56.9951           69.7832           1.50673
         57.0146           69.8243           1.25620
         57.0342           69.8470           1.47138
         57.0538           69.8976           1.27708
         57.0733           69.9508           1.25518
         57.0929           69.9760           1.56974
         57.1125           70.0169           1.45078
         57.1320           70.0439           1.30540
         57.1516           70.0441           1.42424
         57.1712           70.0737           1.12572
         57.1907           70.0643           1.02237
         57.2103           70.0405           1.16832
         57.2299           70.0233           1.35778
         57.2494           70.0103           1.31465
         57.2690           69.9950           1.69483
         57.2886           69.9982           1.21448
         57.3082           70.0131           1.11348
         57.3277           70.0028           1.19940
         57.3473           70.0374           1.45333
         57.3669           70.0703           1.19319
