                Line             LabWL(um)             ObsWL(um)           Sig_Cen(um)            Str(W/cm2)        Sig_str(W/cm2)              FWHM(um)          Sig_FWHM(um)        Base(W/cm2/um)       Noise(W/cm2/um)                   SNR                E_u(K)                A(s-1)                     g               RA(deg)              Dec(deg)                 Blend              Validity
             CO48-47           54.98621750           54.98154779         0.03082777749      -2.277802385e-21       2.967605715e-21         0.03897858372          -998.0000000       5.860891006e-18       8.720767999e-20          0.6297869004           6457.230000        0.006556000000                    97           180.3982553          -65.14761521                     x                     1
      o-H2O8_27-7_16           55.13237762           55.10623856         0.01162382693       6.041067727e-21       3.018992654e-21         0.03898802341          -998.0000000       5.895027508e-18       9.264668348e-20           1.571849557           1274.200000           1.897000000                    51           180.3982553          -65.14761521                     x                     1
   p-H2O10_19-10_010           56.02823639           56.03648819         0.02801372922      -2.834924847e-21       3.348297246e-21         0.03904539152          -998.0000000       6.229026011e-18       8.754434287e-20          0.7794747456           1860.400000          0.5375000000                    21           180.3982553          -65.14761521                     x                     1
             CO47-46           56.12189865           56.10317849         0.05337661416      -1.623051524e-21       3.716340213e-21         0.03905097576          -998.0000000       6.261713192e-18       7.905999332e-20          0.4940853891           6195.570000        0.006326000000                    95           180.3982553          -65.14761521                     x                     1
      p-H2O4_31-3_22           56.32640076           56.30309023        0.007689705798       8.970946845e-21       2.958435088e-21         0.03906316840          -998.0000000       6.295500447e-18       8.226700068e-20           2.623635637           552.3000000           1.452000000                     9           180.3982553          -65.14761521                     x                     1
             CO46-45           57.30772781           57.30463621          0.2850716473      -2.699435981e-22       3.260885618e-21         0.03912018226          -998.0000000       6.354233016e-18       1.049475567e-19         0.06179569179           5939.210000        0.006091000000                    93           180.3982553          -65.14761521                     x                     1
      o-H2O7_52-8_27           57.39510727           57.38110214         0.02600334348       2.873162398e-21       3.187761191e-21         0.03912496772          -998.0000000       6.360869220e-18       9.106806349e-20          0.7578765121           1524.900000       0.0007476000000                    45           180.3982553          -65.14761521                     x                     1
      p-H2O4_22-3_13           57.63798141           57.60472885          -999.0000000      -2.615421185e-21       2.288289989e-21         0.03913826908          -998.0000000       6.415676854e-18       6.800763645e-20          0.9235080994           454.3000000          0.3785000000                     9           180.3982553          -65.14761521                     x                     0
      p-H2O8_17-7_26           57.71080399           57.72727959        0.007849937045       6.020804162e-21       2.029482402e-21         0.03914225731          -998.0000000       6.474407641e-18       5.436083287e-20           2.659383068           1270.300000           1.629000000                    17           180.3982553          -65.14761521                     x                     1
      p-H2O6_42-7_17           58.37823486           58.39137013         0.01566796484       4.061366447e-21       2.713168106e-21         0.03917687299          -998.0000000       6.677703563e-18       5.323818112e-20           1.830111569           1090.300000       0.0004170000000                    13           180.3982553          -65.14761521                     x                     1
             CO45-44           58.54704666           58.55165781        0.005080765737       9.030604350e-21       1.976582329e-21         0.03918525364          -998.0000000       6.708612543e-18       4.961996498e-20           4.365118795           5688.140000        0.005851000000                    91           180.3982553          -65.14761521                     x                     1
      o-H2O4_32-3_21           58.70051575           58.73375136         0.01605388373       3.730422619e-21       2.540806816e-21         0.03919287261          -998.0000000       6.732907197e-18       4.455987228e-20           2.007545376           550.4000000           1.374000000                    27           180.3982553          -65.14761521                     x                     1
             CO44-43           59.84349442           59.84657068        0.006532041385       6.915894722e-21       1.935132622e-21         0.03924504565          -998.0000000       6.982013809e-18       6.181155717e-20           2.679490479           5442.400000        0.005607000000                    89           180.3982553          -65.14761521                     x                     1
      p-H2O7_26-6_15           59.98862839           59.96826303         0.02678309411      -2.472588924e-21       2.818907755e-21         0.03925146448          -998.0000000       6.964072192e-18       6.168501867e-20          0.9597866872           1021.000000           1.338000000                    15           180.3982553          -65.14761521                     x                     1
      p-H2O8_26-7_35           60.16365051           60.19016599         0.01745219725       3.253871669e-21       2.381022868e-21         0.03925827057          -998.0000000       6.912889398e-18       6.290379704e-20           1.238370971           1414.200000          0.7068000000                    17           180.3982553          -65.14761521                     x                     1
      p-H2O7_62-8_35           60.23082352           60.23477847         0.02025464595      -2.801277277e-21       2.400398471e-21         0.03926085781          -998.0000000       6.915213401e-18       6.635677102e-20           1.010577064           1749.900000       0.0003484000000                    15           180.3982553          -65.14761521                     x                     1
              CH+6-5           60.24658585           60.27994308          -999.0000000      -1.269437086e-21       2.448528677e-21         0.03926146491          -998.0000000       6.921684943e-18       6.654548598e-20          0.4566510376           582.6700000           1.875000000                    13           180.3982553          -65.14761521                     x                     0
             CO43-42           61.20105743           61.20562312         0.02428924012       2.372748694e-21       2.454336131e-21         0.03929701762          -998.0000000       7.164126636e-18       7.081406408e-20          0.8013661606           5201.970000        0.005360000000                    87           180.3982553          -65.14761521                     x                     1
      o-H2O5_41-6_16           61.31781769           61.28601021         0.01775252146      -3.223516141e-21       2.433046578e-21         0.03930081223          -998.0000000       7.160824783e-18       8.043640377e-20          0.9583718426           878.2000000       0.0002736000000                    33           180.3982553          -65.14761521                     x                     1
      p-H2O4_31-4_04           61.81015778           61.81655165        0.009303908269      -8.577193129e-21       3.384410569e-21         0.03931681285          -998.0000000       7.507984145e-18       9.543875824e-20           2.148327420           552.3000000         0.02451000000                     9           180.3982553          -65.14761521                     x                     1
      p-H2O4_40-5_15           61.91771698           61.88430975          -999.0000000       3.069691445e-21       3.751426433e-21         0.03932030843          -998.0000000       7.565409169e-18       9.885904032e-20          0.7421980102           702.3000000       0.0001121000000                     9           180.3982553          -65.14761521                     x                     0
      p-H2O9_28-9_19           62.43310547           62.39968634          -999.0000000      -8.815140895e-22       3.488419016e-21         0.03933431372          -998.0000000       7.059276259e-18       9.425479441e-20          0.2234665881           1554.500000          0.4280000000                    19           180.3982553          -65.14761521                     x                     0
             CO42-41           62.62410355           62.65423899        0.009631831961       7.501662021e-21       3.060820182e-21         0.03933931072          -998.0000000       6.824568486e-18       8.867165650e-20           2.021176748           4966.880000        0.005112000000                    85           180.3982553          -65.14761521                     x                     1
      o-H2O9_18-9_09           62.92978668           62.94283712         0.01820873580       4.542327895e-21       3.462343927e-21         0.03934730819          -998.0000000       6.980566810e-18       1.322142004e-19          0.8206230649           1552.600000          0.4183000000                    57           180.3982553          -65.14761521                     x                     1
           OI3P1-3P2           63.18367004           63.18106018       0.0007708718948       2.218903563e-19       1.046530384e-20         0.05084006333        0.001811100263       7.122861081e-18       1.307364868e-19           31.37573456           227.7120000       8.910000000e-05                     3           180.3982553          -65.14761521                     x                     1
      o-H2O8_18-7_07           63.32514572           63.32210706          0.2610843180       3.436963354e-21       3.778513029e-20         0.03935549412          -998.0000000       7.148040274e-18       1.248486335e-19          0.6574218085           1070.700000           1.751000000                    51           180.3982553          -65.14761521                     x                     1
      p-H2O8_08-7_17           63.45961380           63.42617445          -999.0000000      -2.349058397e-21       3.764767952e-20         0.03935811981          -998.0000000       7.133732797e-18       1.232614745e-19          0.4550828605           1070.600000           1.742000000                    17           180.3982553          -65.14761521                     x                     0
      p-H2O7_62-7_53           63.88176727           63.87510648          0.1324453523      -4.979968853e-22       2.792813868e-21         0.03936636300          -998.0000000       7.362174746e-18       6.239823845e-20          0.1905405314           1749.900000          0.5847000000                    15           180.3982553          -65.14761521                     x                     1
      o-H2O6_61-6_52           63.91602325           63.93649292          -999.0000000       2.197260987e-21       2.763702731e-21         0.03936703190          -998.0000000       7.381455348e-18       6.509757235e-20          0.8058283595           1503.600000          0.3533000000                    39           180.3982553          -65.14761521                   Red                     0
      o-H2O7_61-7_52           63.95696259           63.93729134         0.02943608129       2.198141514e-21       2.764042837e-21         0.03936783131          -998.0000000       7.381706869e-18       7.165146509e-20          0.7323985066           1749.900000          0.5828000000                    45           180.3982553          -65.14761521              Red/Blue                     0
             CO41-40           64.11741638           64.11285579        0.007166986362       8.464169777e-21       2.580292256e-21         0.03937014567          -998.0000000       7.420955079e-18       7.163450585e-20           2.820677555           4737.130000        0.004862000000                    83           180.3982553          -65.14761521                     x                     1
              OH12-8           65.28047943           65.28169509         0.01072368570       5.900885092e-21       2.688965441e-21         0.03938269721          -998.0000000       7.542023244e-18       5.765600989e-20           2.442448895           510.9000000           1.267000000                    10           180.3982553          -65.14761521                     x                     1
             CO40-39           65.68791199           65.67797226        0.005259504541       1.222441062e-20       2.713323384e-21         0.03938483546          -998.0000000       7.722439881e-18       6.776288901e-20           4.304922608           4512.670000        0.004613000000                    81           180.3982553          -65.14761521                     x                     1
      o-H2O7_16-6_25           66.09434509           66.07268114         0.02750748758      -2.053785237e-21       2.378862387e-21         0.03938624665          -998.0000000       7.813464927e-18       7.660746858e-20          0.6397314291           1013.200000          0.9508000000                    45           180.3982553          -65.14761521                     x                     1
      o-H2O3_30-2_21           66.43936920           66.42994788         0.02212083905       3.373308606e-21       3.120501120e-21         0.03938541771          -998.0000000       7.816068540e-18       8.155646963e-20          0.9870077623           410.7000000           1.243000000                    21           180.3982553          -65.14761521                     x                     1
      p-H2O3_31-2_20           67.09082031           67.08080394         0.02181229645       2.595770817e-21       2.365599248e-21         0.03938312670          -998.0000000       7.847714364e-18       6.302032867e-20          0.9829554997           410.4000000           1.222000000                     7           180.3982553          -65.14761521                     x                     1
      o-H2O3_30-3_03           67.27066803           67.23720902          -999.0000000      -3.053933566e-21       3.005203078e-21         0.03938125722          -998.0000000       7.902792525e-18       6.296138794e-20           1.157588179           410.7000000        0.008505000000                    21           180.3982553          -65.14761521                     x                     0
             CO39-38           67.33814240           67.35110656        0.008321146278       7.586954608e-21       2.682337738e-21         0.03938055584          -998.0000000       7.946274371e-18       6.522271311e-20           2.776164212           4293.640000        0.004365000000                    79           180.3982553          -65.14761521                     x                     1
             CO38-37           69.07614136           69.06552855        0.004813424582       1.356350433e-20       2.770278621e-21         0.03935280941          -998.0000000       8.073102640e-18       7.159181174e-20           4.524714514           4079.980000        0.004120000000                    77           180.3982553          -65.14761521                     x                     1
      o-H2O8_27-8_18           70.70435333           70.70790932         0.02370902829      -2.852532149e-21       2.849546258e-21         0.03930160082          -998.0000000       8.089286838e-18       5.662732731e-20           1.204627049           1274.200000          0.3278000000                    51           180.3982553          -65.14761521                     x                     1
             CO37-36           70.90901947           70.90911870        0.005652474981       8.412886317e-21       2.036059456e-21         0.03929410418          -998.0000000       8.194478291e-18       4.829048940e-20           4.166912578           3871.690000        0.003878000000                    75           180.3982553          -65.14761521                     x                     1
      p-H2O5_24-4_13           71.06907654           71.08219760         0.01317672272      -4.335620284e-21       2.409119143e-21         0.03928758381          -998.0000000       8.291485185e-18       4.541362783e-20           2.283852701           598.8000000          0.6679000000                    11           180.3982553          -65.14761521                     x                     1
      p-H2O7_17-6_06           71.54145813           71.55183030         0.03215563731      -1.453911293e-21       1.964881754e-21         0.03926578340          -998.0000000       8.319135889e-18       5.047777024e-20          0.6894167784           843.8000000           1.178000000                    15           180.3982553          -65.14761521                     x                     1
      p-H2O5_51-6_24           71.78955078           71.79523741         0.06004433727       7.834417609e-22       2.014999619e-21         0.03925433393          -998.0000000       8.287637257e-18       5.047439197e-20          0.3716262447           1067.700000          0.2480000000                    11           180.3982553          -65.14761521                     x                     1
      o-H2O7_07-6_16           71.94880676           71.95858979        0.007667610839       5.498351760e-21       1.779264080e-21         0.03924698427          -998.0000000       8.256546379e-18       4.906914775e-20           2.683342332           843.5000000           1.157000000                    45           180.3982553          -65.14761521                     x                     1
      p-H2O8_17-8_08           72.03407288           72.05440281         0.02864070576      -1.664704025e-21       2.029219938e-21         0.03924271061          -998.0000000       8.248196574e-18       6.547674632e-20          0.6089046762           1270.300000          0.3110000000                    17           180.3982553          -65.14761521                     x                     1
              CH+5-4           72.13950348           72.14277821         0.02162080270      -2.200905899e-21       2.013163555e-21         0.03923679717          -998.0000000       8.258248442e-18       6.603195469e-20          0.7983845780           416.6800000           1.076000000                    11           180.3982553          -65.14761521                     x                     1
             CO36-35           72.84468842           72.85975123        0.006025406755       1.318155716e-20       3.384470917e-21         0.03919724443          -998.0000000       8.351295762e-18       8.528311032e-20           3.706009404           3668.780000        0.003638000000                    73           180.3982553          -65.14761521                     x                     1
      p-H2O9_37-9_28           73.61470795           73.61476116         0.05547895548      -9.147350121e-22       2.157454033e-21         0.03914768353          -998.0000000       8.465519602e-18       6.364534124e-20          0.3450491659           1749.900000          0.5047000000                    19           180.3982553          -65.14761521                     x                     1
             CO35-34           74.89194489           74.88073922        0.004452856785       1.289661444e-20       2.420217816e-21         0.03905316104          -998.0000000       8.705233126e-18       6.923027123e-20           4.483135433           3471.270000        0.003404000000                    71           180.3982553          -65.14761521                     x                     1
      o-H2O7_25-6_34           74.94690704           74.95996986         0.03449696875       2.491578608e-21       3.620125049e-21         0.03904891425          -998.0000000       8.691479162e-18       6.529847249e-20          0.9183769528           1125.700000          0.2579000000                    45           180.3982553          -65.14761521                     x                     1
      o-H2O3_21-2_12           75.38256836           75.38627318        0.006383448392       1.013761459e-20       2.742085114e-21         0.03901093829          -998.0000000       8.867211709e-18       6.641060873e-20           3.677649083           305.3000000          0.3318000000                    21           180.3982553          -65.14761521                     x                     1
      o-H2O8_54-8_45           75.49739838           75.50301360         0.01108753475      -6.744478225e-21       3.172947625e-21         0.03900077094          -998.0000000       8.887480984e-18       6.394418394e-20           2.541747959           1805.900000          0.5758000000                    51           180.3982553          -65.14761521                     x                     1
      p-H2O5_51-5_42           75.78324127           75.76237223         0.01921068169       2.677125837e-21       2.176918328e-21         0.03897546166          -998.0000000       8.829605502e-18       6.880664669e-20          0.9382217404           1067.700000          0.2480000000                    11           180.3982553          -65.14761521                     x                     1
      o-H2O5_50-5_41           75.91180420           75.89364506         0.02840448313       1.957542009e-21       2.360037525e-21         0.03896407837          -998.0000000       8.755663395e-18       7.413653648e-20          0.6369022128           1067.700000          0.2469000000                    33           180.3982553          -65.14761521                     x                     1
      p-H2O6_51-6_42           76.42385864           76.41035188         0.02054975184       2.449931381e-21       2.164717145e-21         0.03891376373          -998.0000000       8.726908680e-18       7.168908686e-20          0.8253839170           1278.600000          0.3886000000                    13           180.3982553          -65.14761521                     x                     1
             CO34-33           77.06063843           77.05552506        0.003523196047       1.482445819e-20       2.268972730e-21         0.03884916170          -998.0000000       8.845029496e-18       7.124040421e-20           5.034184989           3279.150000        0.003175000000                    69           180.3982553          -65.14761521                     x                     1
      o-H2O7_52-7_43           77.76344299           77.77444576          0.3426159608       1.288090629e-22       1.915709348e-21         0.03877005712          -998.0000000       8.732940470e-18       6.151980283e-20         0.05075670404           1524.900000          0.4648000000                    45           180.3982553          -65.14761521                     x                     1
      o-H2O4_23-3_12           78.74430847           78.74030808        0.005110013475       1.169720985e-20       2.593441078e-21         0.03865015014          -998.0000000       8.874696109e-18       8.124933783e-20           3.500818807           432.2000000          0.4838000000                    27           180.3982553          -65.14761521                     x                     1
      p-H2O6_15-5_24           78.93041992           78.96323795          -999.0000000      -4.504496032e-21       5.096979191e-21         0.03862682555          -998.0000000       8.798717107e-18       7.001606201e-20           1.565373140           781.1000000          0.4526000000                    13           180.3982553          -65.14761521                     x                     0
             CO33-32           79.36180878           79.35447177        0.006484615201       1.678463904e-20       4.680788194e-21         0.03856793793          -998.0000000       8.677253411e-18       7.902933588e-20           5.175539433           3092.450000        0.002952000000                    67           180.3982553          -65.14761521                     x                     1
      p-H2O9_46-9_37           80.22430420           80.21666777         0.03059021541      -1.628530863e-21       2.132988742e-21         0.03844522788          -998.0000000       8.729120048e-18       5.706832121e-20          0.6976166299           1929.300000          0.5213000000                    19           180.3982553          -65.14761521                     x                     1
      p-H2O8_53-8_44           80.55884552           80.54293414         0.02203164343      -2.027315643e-21       1.916433598e-21         0.03839418977          -998.0000000       8.795605322e-18       5.912265862e-20          0.8393832083           1807.000000          0.4866000000                    17           180.3982553          -65.14761521                     x                     1
      p-H2O7_26-7_17           81.21765137           81.22226700         0.02298552075      -2.636495864e-21       2.650187037e-21         0.03829052355          -998.0000000       8.639931929e-18       7.149674566e-20          0.9051235886           1021.000000          0.2430000000                    15           180.3982553          -65.14761521                     x                     1
      o-H2O9_27-9_18           81.40747070           81.38327291        0.008122622688      -5.670275117e-21       2.010707346e-21         0.03825881039          -998.0000000       8.685176192e-18       7.465601742e-20           1.865804853           1729.300000          0.3838000000                    57           180.3982553          -65.14761521                     x                     1
      p-H2O8_35-7_44           81.69220734           81.65974239          -999.0000000      -7.163415443e-21       5.382575772e-21         0.03821123937          -998.0000000       8.787630406e-18       6.659079700e-20           2.645898437           1511.000000          0.1040000000                    15           180.3982553          -65.14761521                     x                     0
             CO32-31           81.80786896           81.81111768        0.003149701593       2.078084999e-20       2.825462251e-21         0.03819191576          -998.0000000       8.909531877e-18       7.494668162e-20           6.823352734           2911.150000        0.002735000000                    65           180.3982553          -65.14761521                     x                     1
      o-H2O6_16-5_05           82.03350830           82.03977069        0.007622694014       1.225978368e-20       4.033491809e-21         0.03815371017          -998.0000000       8.920171473e-18       7.290929310e-20           4.142108885           643.5000000          0.7491000000                    38           180.3982553          -65.14761521                     x                     1
      o-H2O8_36-8_27           82.97879028           82.95458371         0.01032390152      -5.016989093e-21       2.247577218e-21         0.03798145150          -998.0000000       8.789156556e-18       6.684800617e-20           1.857126592           1447.600000          0.3834000000                    51           180.3982553          -65.14761521                     x                     1
      p-H2O6_06-5_15           83.28605652           83.27746895         0.01569847856       3.192074561e-21       2.176295903e-21         0.03792093492          -998.0000000       8.875505231e-18       8.220376224e-20          0.9624111907           642.7000000          0.7132000000                    13           180.3982553          -65.14761521                     x                     1
               OH8-2           84.59877014           84.59921267         0.01316225643       9.348275484e-21       5.375717469e-21         0.03765105809          -998.0000000       8.834106113e-18       9.110896052e-20           2.561247767           290.5000000          0.5202000000                     8           180.3982553          -65.14761521                     x                     1
      o-H2O7_16-7_07           84.76907349           84.76912231         0.02117007501      -3.413541868e-21       3.161315250e-21         0.03761451407          -998.0000000       8.824852639e-18       7.005500419e-20           1.217500036           1013.200000          0.2160000000                    45           180.3982553          -65.14761521                     x                     1
      o-H2O8_45-8_36           85.77088165           85.75172118         0.02719835390       3.018762680e-21       3.684332675e-21         0.03738621154          -998.0000000       8.592970300e-18       9.563024478e-20          0.7935615439           1615.400000          0.4296000000                    51           180.3982553          -65.14761521                     x                     1
             CO30-29           87.19261169           87.17823238        0.006056000581       1.167515533e-20       3.142952491e-21         0.03703131979          -998.0000000       8.800010960e-18       8.637209743e-20           3.430665527           2564.830000        0.002321000000                    61           180.3982553          -65.14761521                     x                     1
      p-H2O3_22-2_11           89.99060822           89.99695024         0.07499876611      -1.519245129e-21       5.241316439e-21         0.03621866563          -998.0000000       8.636042851e-18       7.895039561e-20          0.4993435723           296.8000000          0.3524000000                     7           180.3982553          -65.14761521                     x                     1
      p-H2O7_44-7_35           90.05205536           90.07777058         0.01142602338      -9.365040814e-21       4.896589095e-21         0.03619849793          -998.0000000       8.624054083e-18       6.256095424e-20           3.886638319           1334.800000          0.3587000000                    15           180.3982553          -65.14761521                     x                     1
             CO29-28           90.16526794           90.15479441        0.002409326759       2.316883162e-20       2.596913423e-21         0.03616096086          -998.0000000       8.605395838e-18       7.159643635e-20           8.410680449           2399.820000        0.002126000000                    59           180.3982553          -65.14761521                     x                     1
      o-H2O6_43-6_34           92.81311798           92.80165230         0.03690116247      -1.947431575e-21       3.427906005e-21         0.03522148254          -998.0000000       8.417402166e-18       1.004860240e-19          0.5171389869           1088.800000          0.2991000000                    39           180.3982553          -65.14761521                     x                     1
             CO28-27           93.35147095           93.34699229        0.001817363289       2.487820995e-20       2.176235389e-21         0.03500848358          -998.0000000       8.375899536e-18       8.541520444e-20           7.819320460           2240.240000        0.001940000000                    57           180.3982553          -65.14761521                     x                     1
      p-H2O5_42-5_33           94.21192932           94.20728035         0.02403142040       2.366788405e-21       2.700875468e-21         0.03465463364          -998.0000000       8.006326798e-18       7.795511822e-20          0.8234018801           877.8000000          0.2375000000                    11           180.3982553          -65.14761521                     x                     1
      o-H2O6_25-6_16           94.64643097           94.64755859         0.07527874129       8.558024623e-22       3.148709234e-21         0.03446706822          -998.0000000       8.038706396e-18       8.196145864e-20          0.2847199357           795.5000000          0.1740000000                    39           180.3982553          -65.14761521                     x                     1
      o-H2O4_41-4_32           94.70758057           94.71516692         0.01114708886      -5.409917653e-21       2.926437318e-21         0.03444067120          -998.0000000       8.026771592e-18       7.607130167e-20           1.940691787           702.3000000          0.1528000000                    27           180.3982553          -65.14761521                     x                     1
      p-H2O6_42-6_33           103.9189224           103.9308472          -999.0000000      -3.526323287e-21       1.018266639e-20          0.1107552851          -998.0000000       7.803236594e-18       2.690128441e-20           1.112353991           1090.300000          0.2272000000                    13           180.3982553          -65.14761521                   Red                     0
      p-H2O6_15-6_06           103.9427795           103.9727218          0.1445640848      -4.734587400e-21       1.016401999e-20          0.1107664599          -998.0000000       7.804171261e-18       2.630223448e-20           1.527353571           781.1000000          0.1360000000                    13           180.3982553          -65.14761521              Red/Blue                     1
      o-H2O6_34-6_25           104.0962906           104.0195312          -999.0000000      -3.362297543e-21       1.022417347e-20          0.1108379557          -998.0000000       7.805410615e-18       2.837132586e-20           1.004908158           933.7000000          0.2181000000                    39           180.3982553          -65.14761521              Red/Blue                     0
             CO25-24           104.4475784           104.4665458        0.003849449708       4.958965145e-20       2.871883244e-21          0.1110010066          -998.0000000       7.829549070e-18       2.998681653e-20           14.00206676           1794.230000        0.001432000000                    51           180.3982553          -65.14761521                     x                     1
      o-H2O2_21-1_10           108.0758820           108.1084842         0.01808188137       1.280395872e-20       3.403874349e-21          0.1126568264          -998.0000000       7.704976230e-18       2.985463452e-20           3.577942536           194.1000000          0.2564000000                    15           180.3982553          -65.14761521                     x                     1
             CO24-23           108.7655487           108.7733947        0.006649208838       4.645354400e-20       4.548608336e-21          0.1129642356          -998.0000000       7.629603308e-18       3.214260444e-20           12.02417223           1656.470000        0.001281000000                    49           180.3982553          -65.14761521                     x                     1
      p-H2O5_24-5_15           111.6307755           111.5597961          0.2656026682      -7.798161566e-22       3.024671694e-21          0.1142167493          -998.0000000       7.385349021e-18       2.872280127e-20          0.2234055756           598.8000000          0.1205000000                    11           180.3982553          -65.14761521                     x                     1
      o-H2O7_43-7_34           112.5134125           112.5333674          0.1933367099       1.038562745e-21       2.948274604e-21          0.1145939077          -998.0000000       7.407877544e-18       3.182109721e-20          0.2676790783           1339.900000          0.2153000000                    45           180.3982553          -65.14761521                     x                     1
      o-H2O4_41-5_14           112.8057556           112.7082890          -999.0000000      -6.886473626e-21       1.617140756e-20          0.1147181677          -998.0000000       7.419854003e-18       3.332320498e-20           1.693075363           702.3000000       0.0001654000000                    27           180.3982553          -65.14761521                     x                     0
      p-H2O5_33-5_24           113.9508133           114.0486889          -999.0000000      -1.088111048e-20       1.748170545e-20          0.1151996367          -998.0000000       7.334633983e-18       2.823001065e-20           3.144629151           725.1000000          0.1653000000                    11           180.3982553          -65.14761521                     x                     0
    o-H2O9_27-10_110           114.4565582           114.5256879          0.1588456957      -7.010788051e-21       1.615213712e-20          0.1154092197          -998.0000000       7.223141572e-18       3.084327997e-20           1.851075552           1729.300000       0.0005496000000                    57           180.3982553          -65.14761521                     x                     1
              OH10-8           115.1505737           115.2488707          -999.0000000       3.243926867e-21       2.723446701e-21          0.1156955635          -998.0000000       7.119166986e-18       2.719173718e-20          0.9691159981           415.5000000        0.002850000000                     6           180.3982553          -65.14761521                   Red                     0
