       Wave (um)         Flux (Jy)  Uncertainty (Jy)
         54.8075         -0.176059          0.926830
         54.8270          0.300210           1.07379
         54.8465        -0.0771129           1.16958
         54.8660          -1.50091          0.982716
         54.8855           1.18404           1.05706
         54.9050         -0.484118           1.45252
         54.9245           1.00113          0.917434
         54.9440         -0.334860           1.36537
         54.9635          0.127100           1.62525
         54.9830          -1.10610           1.16781
         55.0025          0.317033           1.24531
         55.0220         -0.629211           1.55409
         55.0415           1.65906           1.27271
         55.0610         -0.794420           1.70112
         55.0805         -0.327359           1.45946
         55.1000           1.55191           1.15300
         55.1196          0.674623           1.60706
         55.1391         -0.149937           1.38094
         55.1586         -0.304305           1.45290
         55.1781         -0.723730           1.23466
         55.1976          -1.25024           1.95460
         55.2171          0.832400           1.50760
         55.2366         -0.276079           1.44881
         55.2561        0.00166032           1.41782
         55.2756           1.76524           1.94711
         55.2951         -0.584243           1.33096
         55.3147         -0.946492           1.84630
         55.3342         -0.494262           2.00730
         55.3537          -1.01645           1.27984
         55.3732          0.406653           1.40179
         55.3927           2.63787           1.43170
         55.4122          -1.16200           1.94807
         55.4317          0.825655           2.01151
         55.4513         -0.602662           1.48242
         55.4708         -0.115755           1.59936
         55.4903          -1.19026           1.76514
         55.5098         0.0695964          0.970555
         55.5293          0.104157           2.64769
         55.5489         -0.144213           1.70892
         55.5684         -0.520309           1.52743
         55.5879         -0.325614           1.94345
         55.6074          0.760350           1.64844
         55.6269          0.681484           1.51756
         55.6465         -0.405359           2.64804
         55.6660        -0.0661656           1.73836
         55.6855        -0.0847356           1.18941
         55.7050         -0.582958           2.36771
         55.7246           1.13347           1.26828
         55.7441           1.65836           1.33555
         55.7636         -0.735078           2.45351
         55.7832          0.348321           1.97322
         55.8027         0.0860459           1.27789
         55.8222         -0.453182           2.38216
         55.8417          -2.38039           1.78172
         55.8613          0.467729           1.54935
         55.8808         -0.362739           2.58030
         55.9003          0.885189           1.26286
         55.9199          0.245400           2.28898
         55.9394          0.276806           2.27413
         55.9589           1.64337           1.88161
         55.9785          -1.25670           1.89114
         55.9980         -0.690557           1.95765
         56.0175          0.355377           1.82444
         56.0371         -0.642753           2.01927
         56.0566         0.0471002           2.15782
         56.0761          0.362578           1.83780
         56.0957         -0.179109           2.40838
         56.1152         -0.564672           2.07313
         56.1348          0.922311           1.68555
         56.1543         -0.577506           1.64583
         56.1738          0.783165           1.69323
         56.1934         -0.363898           2.05134
         56.2129         -0.956935           1.57157
         56.2325          -1.57838           1.91607
         56.2520           1.03304           1.85325
         56.2715          0.798044           1.49261
         56.2911          0.864065           2.32708
         56.3106           2.51840           1.51283
         56.3302         -0.533922           2.05693
         56.3497          0.296351           2.42097
         56.3693          -1.13539           1.59194
         56.3888          -2.13417           2.08192
         56.4084          0.207894           1.96450
         56.4279         -0.524163           1.80916
         56.4475         -0.353744           2.05359
         56.4670         -0.277597           1.98499
         56.4866         -0.440010           1.79436
         56.5061           1.00541           1.53908
         56.5257           1.14068           1.52280
         56.5452         -0.840984           1.58953
         56.5648           2.22310           1.63167
         56.5843         -0.971850           2.01803
         56.6039         -0.680673           1.43060
         56.6234          0.862832           1.14022
         56.6430         -0.709029           2.13787
         56.6625          0.574989           1.56649
         56.6821         0.0692338           1.69861
         56.7016         0.0477158           1.98710
         56.7212          0.830156           1.21718
         56.7408          0.754098           1.72356
         56.7603         -0.861825           1.76156
         56.7799          -1.16230           1.37406
         56.7994           1.96722           1.21005
         56.8190         0.0293035           1.83830
         56.8386         -0.924262           1.16555
         56.8581          0.971437           1.37905
         56.8777         -0.153643           1.52809
         56.8972          0.144072           1.26180
         56.9168           1.52447           1.78383
         56.9364          -1.73572           1.60664
         56.9559          -2.09238           1.32284
         56.9755           1.91807           1.31138
         56.9951         -0.959585           1.50673
         57.0146          -1.17781           1.25620
         57.0342           1.52301           1.47138
         57.0538          -1.34129           1.27708
         57.0733          -1.06042           1.25518
         57.0929           2.21587           1.56974
         57.1125           1.20288           1.45078
         57.1320          -1.46243           1.30540
         57.1516           2.33292           1.42424
         57.1712         -0.340282           1.12572
         57.1907        -0.0581175           1.02237
