  Wavelength(um)        Flux(Jy)
       668.89753       20.806534
       668.45041       21.494433
       668.00388       21.747899
       667.55795       21.761639
       667.11261       21.705015
       666.66787       21.678005
       666.22372       21.698856
       665.78017       21.725658
       665.33720       21.698834
       664.89482       21.583438
       664.45303       21.391808
       664.01182       21.177708
       663.57121       21.007578
       663.13117       20.925787
       662.69172       20.933143
       662.25285       20.990235
       661.81457       21.043305
       661.37686       21.057684
       660.93973       21.039257
       660.50318       21.030905
       660.06720       21.085019
       659.63180       21.225255
       659.19697       21.424431
       658.76272       21.609335
       658.32904       21.694948
       657.89593       21.630969
       657.46338       21.434465
       657.03141       21.187764
       656.60001       20.998738
       656.16917       20.942664
       655.73889       21.018568
       655.30918       21.149648
       654.88003       21.236366
       654.45144       21.241518
       654.02342       21.263950
       653.59595       21.554824
       653.16905       22.451795
       652.74269       24.244204
       652.31690       27.020351
       651.89166       30.566625
       651.46698       34.351731
       651.04284       37.658161
       650.61926       39.784992
       650.19623       40.265153
       649.77375       39.014778
       649.35182       36.356645
       648.93044       32.910040
       648.50960       29.391502
       648.08931       26.403270
       647.66956       24.285730
       647.25036       23.078584
       646.83170       22.588349
       646.41358       22.518664
       645.99600       22.601799
       645.57896       22.680151
       645.16246       22.717272
       644.74649       22.752570
       644.33106       22.836734
       643.91617       22.986144
       643.50181       23.162147
       643.08798       23.305884
       642.67468       23.373241
       642.26192       23.359565
       641.84968       23.299381
       641.43798       23.243320
       641.02680       23.228329
       640.61615       23.259495
       640.20602       23.313094
       639.79642       23.356934
       639.38735       23.373881
       638.97879       23.373539
       638.57076       23.385164
       638.16325       23.436845
       637.75626       23.534445
       637.34978       23.653801
       636.94383       23.751588
       636.53839       23.789343
       636.13347       23.757392
       635.72906       23.677276
       635.32516       23.596609
       634.92178       23.563111
       634.51891       23.599565
       634.11656       23.692931
       633.71471       23.803153
       633.31337       23.886639
       632.91254       23.921413
       632.51221       23.920182
       632.11239       23.924450
       631.71308       23.983170
       631.31427       24.127580
       630.91597       24.355433
       630.51816       24.632222
       630.12086       24.907651
       629.72406       25.137801
       629.32776       25.301273
       628.93195       25.402127
       628.53665       25.460380
       628.14184       25.493536
       627.74753       25.508078
       627.35371       25.497657
       626.96038       25.451349
       626.56755       25.365484
       626.17521       25.250975
       625.78336       25.131488
       625.39200       25.033685
       625.00113       24.975524
       624.61075       24.959611
       624.22085       24.975253
       623.83145       25.007478
       623.44252       25.047149
       623.05409       25.095823
       622.66613       25.162498
       622.27866       25.254562
       621.89167       25.368945
       621.50516       25.489564
       621.11914       25.593409
       620.73359       25.661240
       620.34852       25.689078
       619.96392       25.691528
       619.57981       25.695591
       619.19617       25.727782
       618.81300       25.801148
       618.43031       25.908895
       618.04809       26.027803
       617.66634       26.129400
       617.28507       26.193000
       616.90426       26.214161
       616.52393       26.204941
       616.14406       26.186848
       615.76466       26.180900
       615.38573       26.199991
       615.00726       26.246708
       614.62926       26.316281
       614.25172       26.401496
       613.87465       26.495942
       613.49804       26.597915
       613.12189       26.706080
       612.74621       26.818638
       612.37098       26.933768
       611.99621       27.051537
       611.62190       27.175605
       611.24805       27.312471
       610.87465       27.467430
       610.50171       27.638877
       610.12923       27.814351
       609.75720       27.971482
       609.38562       28.084533
       609.01450       28.134051
       608.64383       28.114937
       608.27361       28.038752
       607.90383       27.928947
       607.53451       27.811542
       607.16564       27.705770
       606.79721       27.618753
       606.42923       27.555020
       606.06170       27.516162
       605.69461       27.507843
       605.32797       27.540456
       604.96177       27.623145
       604.59601       27.755158
       604.23070       27.920324
       603.86583       28.089291
       603.50139       28.229807
       603.13740       28.320434
       602.77384       28.360343
       602.41073       28.369324
       602.04805       28.377176
       601.68580       28.407575
       601.32400       28.464987
       600.96262       28.531982
       600.60169       28.578911
       600.24118       28.580665
       599.88111       28.530845
       599.52147       28.453194
       599.16226       28.386894
       598.80348       28.369973
       598.44513       28.421685
       598.08721       28.533903
       597.72971       28.676535
       597.37265       28.813971
       597.01600       28.923592
       596.65979       29.006305
       596.30400       29.083452
