       Wave (um)         Flux (Jy)
         194.364           385.656
         194.402           385.758
         194.439           385.814
         194.477           385.825
         194.515           385.784
         194.553           385.674
         194.591           385.174
         194.629           385.058
         194.667           384.938
         194.704           384.826
         194.742           384.733
         194.780           384.667
         194.818           384.636
         194.856           384.649
         194.894           384.715
         194.932           384.838
         194.970           385.012
         195.008           385.211
         195.046           385.426
         195.084           385.663
         195.122           385.915
         195.160           386.170
         195.198           386.416
         195.237           386.639
         195.275           386.825
         195.313           386.960
         195.351           387.028
         195.389           387.021
         195.427           386.930
         195.466           386.758
         195.504           386.505
         195.542           386.178
         195.580           385.781
         195.619           385.319
         195.657           384.800
         195.695           384.234
         195.733           383.634
         195.772           383.017
         195.810           382.402
         195.848           381.806
         195.887           381.241
         195.925           380.719
         195.964           380.248
         196.002           379.835
         196.040           379.487
         196.079           379.210
         196.117           379.006
         196.156           378.874
         196.194           378.808
         196.233           378.800
         196.271           378.837
         196.310           378.910
         196.348           379.007
         196.387           379.119
         196.425           379.238
         196.464           379.351
         196.503           379.448
         196.541           379.514
         196.580           379.537
         196.619           379.509
         196.657           379.424
         196.696           379.282
         196.735           379.084
         196.773           378.833
         196.812           378.533
         196.851           378.188
         196.890           377.803
         196.928           377.387
         196.967           376.951
         197.006           376.507
         197.045           376.069
         197.084           375.646
         197.122           375.246
         197.161           374.876
         197.200           374.538
         197.239           374.238
         197.278           373.978
         197.317           373.763
         197.356           373.593
         197.395           373.465
         197.434           373.375
         197.473           373.312
         197.512           373.267
         197.551           373.229
         197.590           373.188
         197.629           373.139
         197.668           373.073
         197.707           372.985
         197.746           372.869
         197.785           372.720
         197.824           372.533
         197.863           372.307
         197.903           372.044
         197.942           371.748
         197.981           371.426
         198.020           371.083
         198.059           370.723
         198.099           370.354
         198.138           369.980
         198.177           369.609
         198.216           369.253
         198.256           368.920
         198.295           368.622
         198.334           368.366
         198.374           368.159
         198.413           368.002
         198.452           367.899
         198.492           367.849
         198.531           367.852
         198.571           367.906
         198.610           368.007
         198.650           368.148
         198.689           368.318
         198.728           368.507
         198.768           368.700
         198.808           368.889
         198.847           369.063
         198.887           369.216
         198.926           369.340
         198.966           369.427
         199.005           369.468
         199.045           369.455
         199.085           369.381
         199.124           369.245
         199.164           369.046
         199.204           368.791
         199.243           368.484
         199.283           368.131
         199.323           367.738
         199.362           367.313
         199.402           366.868
         199.442           366.417
         199.482           365.978
         199.522           365.566
         199.561           365.190
         199.601           364.856
         199.641           364.565
         199.681           364.317
         199.721           364.114
         199.761           363.960
         199.801           363.862
         199.840           363.824
         199.880           363.845
         199.920           363.924
         199.960           364.052
         200.000           364.219
         200.040           364.418
         200.080           364.641
         200.120           364.885
         200.160           365.143
         200.201           365.407
         200.241           365.663
         200.281           365.893
         200.321           366.082
         200.361           366.215
         200.401           366.287
         200.441           366.295
         200.482           366.240
         200.522           366.121
         200.562           365.939
