                Line             LabWL(um)             ObsWL(um)           Sig_Cen(um)            Str(W/cm2)        Sig_str(W/cm2)              FWHM(um)          Sig_FWHM(um)        Base(W/cm2/um)       Noise(W/cm2/um)                   SNR                E_u(K)                A(s-1)                     g               RA(deg)              Dec(deg)                 Blend              Validity
             CO13-12           200.2775116           200.2959474        0.007376840114       1.243241376e-19       9.723056803e-21          0.2937263618         0.01736499955       2.736361419e-18       1.240436772e-20           32.06980100           503.1300000       0.0002200000000                    27           180.4010925          -65.14799500                     x                     1
             NII_205           205.1779938           205.1428986         0.09682058215      -2.033357746e-20       8.262637365e-21          0.3966002880          -999.0000000       2.511507424e-18       1.187501820e-20           4.057745951           70.10000000           0.000000000                     3           180.4010925          -65.14799500                     x                     0
      p-H2O7_26-6_33           208.0814667           208.0754387          0.2959100988      -6.759322343e-21       8.161994170e-21          0.4079042854          -999.0000000       2.388137295e-18       1.159709777e-20           1.342931742           1021.000000        0.002131000000                    15           180.4010925          -65.14799500                     x                     0
     p-H2O9_46-10_19           208.9186096           209.1873457          -999.0000000       3.317758864e-21       8.268501163e-21          0.4111930079          -999.0000000       2.342669903e-18       1.152212635e-20          0.6581499178           1929.300000       0.0002969000000                    19           180.4010925          -65.14799500                     x                     0
           13CO13-12           209.4814453           209.6116267          0.2661138074       7.771956086e-21       8.327278844e-21          0.4134115354          -999.0000000       2.325410576e-18       1.146833021e-20           1.540656874           481.0200000       0.0001924000000                    27           180.4010925          -65.14799500                   Red                     0
           HCO+16-15           210.2881622           210.0158913          -999.0000000       2.651742526e-21       8.321459659e-21          0.4166017774          -999.0000000       2.310413694e-18       1.139363509e-20          0.5250568115           581.8300000          0.2525500000                    33           180.4010925          -65.14799500              Red/Blue                     0
      o-H2O5_23-5_14           212.5309296           212.5392295          0.2100125926       4.409076522e-21       1.187480434e-20          0.2428671988          0.4943744821       2.217840305e-18       1.120169315e-20           1.523187856           642.4000000         0.04314000000                    33           180.4010925          -65.14799500                     x                     1
             CO12-11           216.9327545           216.9354953        0.003793915425       1.161340380e-19       4.101237021e-21          0.3345487265        0.008930910426       2.060382954e-18       1.086708081e-20           30.02241453           431.2900000       0.0001735000000                    25           180.4010925          -65.14799500                     x                     1
      p-H2O7_44-8_17           222.9532776           223.2340724          0.1664552407       1.135515938e-20       6.718332340e-21          0.4682946429          -999.0000000       1.847636823e-18       9.311155432e-21           2.447534577           1334.800000       0.0002462000000                    15           180.4010925          -65.14799500                     x                     0
           HCO+15-14           224.2813568           224.1087483          0.4246665992      -4.598055024e-21       6.858614715e-21          0.4738902973          -999.0000000       1.819488868e-18       8.805165242e-21           1.035660004           513.4100000          0.2077700000                    31           180.4010925          -65.14799500                     x                     0
      o-H2O6_25-5_32           226.7664642           226.8023264          0.1413583651       1.479247937e-20       7.184618735e-21          0.4844501831          -999.0000000       1.735226640e-18       7.840507240e-21           3.660210439           795.5000000        0.002217000000                    39           180.4010925          -65.14799500                   Red                     0
