       Wave (um)         Flux (Jy)
         194.364           1.03845
         194.402           5.37609
         194.439           5.43133
         194.477           3.74363
         194.515           1.88752
         194.553          0.477726
         194.591         -0.200053
         194.629          -1.14369
         194.667          -2.06725
         194.704          -2.87405
         194.742          -3.36710
         194.780          -3.43160
         194.818          -3.14909
         194.856          -2.76972
         194.894          -2.56768
         194.932          -2.67350
         194.970          -2.98497
         195.008          -3.20519
         195.046          -3.02300
         195.084          -2.27774
         195.122          -1.01864
         195.160          0.512035
         195.198           1.99370
         195.237           3.16805
         195.275           3.92837
         195.313           4.31780
         195.351           4.45271
         195.389           4.42817
         195.427           4.26535
         195.466           3.92833
         195.504           3.39077
         195.542           2.70030
         195.580           1.99245
         195.619           1.43777
         195.657           1.14803
         195.695           1.09382
         195.733           1.12562
         195.772           1.00832
         195.810          0.541327
         195.848         -0.337968
         195.887          -1.51783
         195.925          -2.75851
         195.964          -3.79566
         196.002          -4.44653
         196.040          -4.66639
         196.079          -4.53322
         196.117          -4.17856
         196.156          -3.70926
         196.194          -3.16489
         196.233          -2.52979
         196.271          -1.78350
         196.310         -0.951458
         196.348         -0.119370
         196.387          0.600132
         196.425           1.12873
         196.464           1.46922
         196.503           1.70099
         196.541           1.97264
         196.580           2.38380
         196.619           2.93089
         196.657           3.49773
         196.696           3.90289
         196.735           3.98296
         196.773           3.66812
         196.812           3.01084
         196.851           2.15488
         196.890           1.26401
         196.928          0.451103
         196.967         -0.255245
         197.006         -0.891713
         197.045          -1.50593
         197.084          -2.10213
         197.122          -2.62096
         197.161          -2.96591
         197.200          -3.05884
         197.239          -2.89143
         197.278          -2.54023
         197.317          -2.13606
         197.356          -1.79096
         197.395          -1.55084
         197.434          -1.37337
         197.473          -1.15629
         197.512         -0.798680
         197.551         -0.260642
         197.590          0.411861
         197.629           1.10902
         197.668           1.71183
         197.707           2.14760
         197.746           2.41494
         197.785           2.56581
         197.824           2.65779
         197.863           2.70675
         197.903           2.66954
         197.942           2.46670
         197.981           2.03345
         198.020           1.36752
         198.059          0.545928
         198.099         -0.297519
         198.138          -1.01820
         198.177          -1.55114
         198.216          -1.89660
         198.256          -2.11070
         198.295          -2.26229
         198.334          -2.38761
         198.374          -2.47177
         198.413          -2.46750
         198.452          -2.33772
         198.492          -2.09352
         198.531          -1.80124
         198.571          -1.55159
         198.610          -1.40668
         198.650          -1.35634
         198.689          -1.31214
         198.728          -1.14644
         198.768         -0.758346
         198.808         -0.131414
         198.847          0.649633
         198.887           1.43354
         198.926           2.07550
         198.966           2.51526
         199.005           2.74620
         199.045           2.84743
         199.085           2.90949
         199.124           2.96807
         199.164           2.98090
         199.204           2.85657
         199.243           2.52056
         199.283           1.97668
         199.323           1.32496
         199.362          0.719597
         199.402          0.286757
         199.442         0.0485892
         199.482        -0.0997779
         199.522         -0.340003
         199.561         -0.830181
         199.601          -1.60734
         199.641          -2.55086
         199.681          -3.43277
         199.721          -4.03274
         199.761          -4.25019
         199.801          -4.13856
         199.840          -3.89178
         199.880          -3.65142
         199.920          -3.38141
         199.960          -2.84781
         200.000          -1.76067
         200.040        -0.0276592
         200.080           2.04937
         200.120           3.80628
         200.160           4.54015
         200.201           3.94756
         200.241           2.35610
         200.281          0.566037
         200.321         -0.637134
         200.361         -0.915778
         200.401         -0.466770
         200.441          0.272739
         200.482          0.988798
         200.522           1.63998
         200.562           2.33241
         200.602           3.08352
         200.642           3.72329
         200.683           3.96209
         200.723           3.60255
         200.763           2.67397
         200.804           1.42790
         200.844          0.209201
         200.884         -0.708953
         200.925          -1.23188
         200.965          -1.44593
         201.005          -1.53413
         201.046          -1.66323
         201.086          -1.90501
         201.127          -2.22469
         201.167          -2.52896
         201.208          -2.73449
         201.248          -2.81387
         201.289          -2.79589
         201.329          -2.72723
         201.370          -2.62634
         201.410          -2.46114
         201.451          -2.16775
         201.491          -1.69954
         201.532          -1.05161
         201.573         -0.296522
         201.613          0.444319
         201.654           1.05322
         201.695           1.46638
         201.735           1.69596
         201.776           1.81309
         201.817           1.90379
         201.857           2.02328
         201.898           2.17398
         201.939           2.31621
         201.980           2.40235
         202.021           2.40979
         202.061           2.35288
         202.102           2.26516
         202.143           2.16496
         202.184           2.02732
         202.225           1.78251
         202.266           1.34673
         202.307          0.667929
         202.348         -0.243354
         202.389          -1.25995
         202.430          -2.21285
         202.470          -2.93829
         202.512          -3.33159
         202.553          -3.37824
         202.594          -3.14706
         202.635          -2.75182
         202.676          -2.30305
         202.717          -1.87295
         202.758          -1.48704
         202.799          -1.13966
         202.840         -0.817885
         202.881         -0.517435
         202.922         -0.241110
         202.964         0.0145332
         203.005          0.272311
         203.046          0.572583
         203.087          0.954043
