IRS - TSAO-13		
Wavelength (um)	Flux (Jy)	Error
5.187	0.135979	NaN
5.2172	0.144433	NaN
5.2475	0.150484	NaN
5.2777	0.157485	NaN
5.308	0.163115	NaN
5.3382	0.175254	NaN
5.3685	0.179089	NaN
5.3987	0.181716	NaN
5.4289	0.182816	NaN
5.4592	0.188489	NaN
5.4894	0.20223	NaN
5.5197	0.210431	NaN
5.5499	0.198301	NaN
5.5802	0.190301	NaN
5.6104	0.187942	NaN
5.6406	0.18143	NaN
5.6709	0.173832	NaN
5.7011	0.14049	NaN
5.7314	0.111446	NaN
5.7616	0.0899238	NaN
5.7918	0.0604629	NaN
5.8221	0.0462021	NaN
5.8523	0.049384	NaN
5.8826	0.0540443	NaN
5.9128	0.0493649	NaN
5.943	0.050977	NaN
5.9733	0.053976	NaN
6.0035	0.0489067	NaN
6.0338	0.0570339	NaN
6.064	0.0593486	NaN
6.0943	0.067548	NaN
6.1245	0.0744561	NaN
6.1547	0.0757423	NaN
6.185	0.0744038	NaN
6.2152	0.0807815	NaN
6.2455	0.0876721	NaN
6.2757	0.0931514	NaN
6.306	0.100545	NaN
6.3362	0.108589	NaN
6.3664	0.116716	NaN
6.3967	0.131195	NaN
6.4269	0.129377	NaN
6.4572	0.144333	NaN
6.4874	0.139286	NaN
6.5177	0.144546	NaN
6.5479	0.15272	NaN
6.5781	0.133101	NaN
6.6084	0.122127	NaN
6.6386	0.125923	NaN
6.6689	0.0948156	NaN
6.6991	0.0765023	NaN
6.7294	0.0701421	NaN
6.7596	0.0684157	NaN
6.7898	0.0719661	NaN
6.8201	0.0660314	NaN
6.8503	0.0586034	NaN
6.8806	0.072787	NaN
6.9108	0.119935	NaN
6.941	0.106092	NaN
6.9713	0.102182	NaN
7.0015	0.114806	NaN
7.0318	0.125662	NaN
7.062	0.144437	NaN
7.0922	0.172205	NaN
7.1225	0.197763	NaN
7.1527	0.210358	NaN
7.183	0.235367	NaN
7.2132	0.236146	NaN
7.2435	0.239476	NaN
7.2737	0.258673	NaN
7.3039	0.285155	NaN
7.3342	0.288877	NaN
7.3644	0.300108	NaN
7.3947	0.315827	NaN
7.4249	0.330344	NaN
7.4552	0.342243	NaN
7.4854	0.366036	NaN
7.5156	0.358336	NaN
7.5459	0.38529	NaN
7.5761	0.381499	NaN
7.6366	0.351742	NaN
7.6971	0.367957	NaN
7.7576	0.422873	NaN
7.818	0.452203	NaN
7.8785	0.457995	NaN
7.939	0.439791	NaN
7.9995	0.407904	NaN
8.06	0.36552	NaN
8.1205	0.3208	NaN
8.181	0.276038	NaN
8.2414	0.241262	NaN
8.3019	0.214764	NaN
8.3624	0.180301	NaN
8.4229	0.148911	NaN
8.4834	0.121036	NaN
8.5439	0.0883565	NaN
8.6043	0.0686845	NaN
8.6648	0.0487705	NaN
8.7253	0.0325052	NaN
8.7858	0.0203118	NaN
8.8463	0.0116384	NaN
8.9068	0.00486577	NaN
8.9672	0.00344148	NaN
9.0277	0.00622792	NaN
9.0882	0.0102158	NaN
9.1487	0.00348259	NaN
9.2092	0.00282346	NaN
9.2697	0.00344112	NaN
9.3301	0.00562795	NaN
9.3906	0.00390258	NaN
9.4511	0.00908495	NaN
9.5116	-0.000737439	NaN
9.5721	-0.00460255	NaN
9.6326	-0.0097784	NaN
9.6931	-0.00455203	NaN
9.7535	-0.00324036	NaN
9.814	0.00158813	NaN
9.8745	0.00182351	NaN
9.935	0.00612744	NaN
9.9955	0.00565444	NaN
10.056	0.00741351	NaN
10.1164	0.00855479	NaN
10.1769	0.00965372	NaN
10.2374	0.0103479	NaN
10.2979	0.0107453	NaN
10.3584	0.00968037	NaN
10.4188	0.00916971	NaN
10.4793	0.0160916	NaN
10.5398	0.0170817	NaN
10.6003	0.0172771	NaN
10.6608	0.0113584	NaN
10.7213	0.016998	NaN
10.7817	0.0118872	NaN
10.8422	0.0130681	NaN
10.9027	0.0137675	NaN
10.9632	0.0152278	NaN
11.0237	0.0123073	NaN
11.0842	0.0136559	NaN
11.1447	0.0192216	NaN
11.2051	0.0154677	NaN
11.2656	0.0150509	NaN
11.3261	0.023201	NaN
11.3866	0.0235446	NaN
11.4471	0.0207473	NaN
11.5076	0.0213148	NaN
11.568	0.0242732	NaN
11.6285	0.0269287	NaN
11.689	0.033999	NaN
11.7495	0.0374102	NaN
11.81	0.0326067	NaN
11.8705	0.0365755	NaN
11.9309	0.0422912	NaN
11.9914	0.0472002	NaN
12.0519	0.0525451	NaN
12.1124	0.0521504	NaN
12.1729	0.0582414	NaN
12.2334	0.0628836	NaN
12.2938	0.0685547	NaN
12.3543	0.0710399	NaN
12.4148	0.076152	NaN
12.4753	0.0815364	NaN
12.5358	0.0857563	NaN
12.5963	0.0895696	NaN
12.6567	0.0996442	NaN
12.7172	0.10453	NaN
12.7777	0.113533	NaN
12.8382	0.114662	NaN
12.8987	0.115519	NaN
12.9592	0.123604	NaN
13.0197	0.126198	NaN
13.0801	0.132939	NaN
13.1406	0.138027	NaN
13.2011	0.142787	NaN
13.2616	0.14891	NaN
13.3221	0.158315	NaN
13.3826	0.160133	NaN
13.443	0.16959	NaN
13.5035	0.176639	NaN
13.564	0.18393	NaN
13.6245	0.196323	NaN
13.685	0.198542	NaN
13.7455	0.201823	NaN
13.8059	0.219888	NaN
13.8664	0.227317	NaN
13.9269	0.232913	NaN
13.9874	0.245189	NaN
14.154	0.310408	NaN
14.2387	0.315821	NaN
14.3234	0.334967	NaN
14.4081	0.346703	NaN
14.4927	0.35785	NaN
14.5774	0.376346	NaN
14.6621	0.381584	NaN
14.7468	0.364667	NaN
14.8315	0.315331	NaN
14.9161	0.208224	NaN
15.0008	0.102351	NaN
15.0855	0.0538746	NaN
15.1701	0.033352	NaN
15.2548	0.0439787	NaN
15.3395	0.0583858	NaN
15.4242	0.0779327	NaN
15.5089	0.106959	NaN
15.5935	0.151141	NaN
15.6782	0.1946	NaN
15.7629	0.228163	NaN
15.8476	0.261254	NaN
15.9322	0.294811	NaN
16.0169	0.310633	NaN
16.1016	0.314812	NaN
16.1863	0.327802	NaN
16.271	0.337485	NaN
16.3556	0.352187	NaN
16.4403	0.360179	NaN
16.525	0.372261	NaN
16.6097	0.386001	NaN
16.6943	0.402228	NaN
16.779	0.422645	NaN
16.8637	0.420828	NaN
16.9484	0.436606	NaN
17.033	0.453935	NaN
