           age              Cs          Omega0           tstar       R_env_max       theta_cav  rho_cav_center    rho_cav_edge           rstar      M_disk_dot          M_disk            beta            h100         rho_cav      percentile        absolute        relative      view_angle       cav_power 
        5000.0             0.5    1.000000e-13          5100.0         10000.0              10    5.000000e-19            40.0             5.0    6.500000e-07    3.619085e-02           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
        5000.0             0.5    1.000000e-13          5100.0         10000.0              20    5.000000e-19            40.0             5.0    6.500000e-07    3.619085e-02           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
        5000.0             0.5    1.000000e-13          5100.0         10000.0              30    5.000000e-19            40.0             5.0    6.500000e-07    3.619085e-02           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
        5000.0             0.5    1.000000e-13          5100.0         10000.0              40    5.000000e-19            40.0             5.0    6.500000e-07    3.619085e-02           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
        5000.0             0.5    1.000000e-13          5100.0         10000.0              50    5.000000e-19            40.0             5.0    6.500000e-07    3.619085e-02           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
       10000.0             0.5    1.000000e-13          5100.0         10000.0              10    5.000000e-19            40.0             5.0    6.500000e-07    7.238171e-02           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
       10000.0             0.5    1.000000e-13          5100.0         10000.0              20    5.000000e-19            40.0             5.0    6.500000e-07    7.238171e-02           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
       10000.0             0.5    1.000000e-13          5100.0         10000.0              30    5.000000e-19            40.0             5.0    6.500000e-07    7.238171e-02           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
       10000.0             0.5    1.000000e-13          5100.0         10000.0              40    5.000000e-19            40.0             5.0    6.500000e-07    7.238171e-02           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
       10000.0             0.5    1.000000e-13          5100.0         10000.0              50    5.000000e-19            40.0             5.0    6.500000e-07    7.238171e-02           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
       20000.0             0.5    1.000000e-13          5100.0         10000.0              10    5.000000e-19            40.0             5.0    6.500000e-07    1.447634e-01           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
       20000.0             0.5    1.000000e-13          5100.0         10000.0              20    5.000000e-19            40.0             5.0    6.500000e-07    1.447634e-01           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
       20000.0             0.5    1.000000e-13          5100.0         10000.0              30    5.000000e-19            40.0             5.0    6.500000e-07    1.447634e-01           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
       20000.0             0.5    1.000000e-13          5100.0         10000.0              40    5.000000e-19            40.0             5.0    6.500000e-07    1.447634e-01           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
       20000.0             0.5    1.000000e-13          5100.0         10000.0              50    5.000000e-19            40.0             5.0    6.500000e-07    1.447634e-01           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
       40000.0             0.5    1.000000e-13          5100.0         10000.0              10    5.000000e-19            40.0             5.0    6.500000e-07    2.895268e-01           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
       40000.0             0.5    1.000000e-13          5100.0         10000.0              20    5.000000e-19            40.0             5.0    6.500000e-07    2.895268e-01           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
       40000.0             0.5    1.000000e-13          5100.0         10000.0              30    5.000000e-19            40.0             5.0    6.500000e-07    2.895268e-01           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
       40000.0             0.5    1.000000e-13          5100.0         10000.0              40    5.000000e-19            40.0             5.0    6.500000e-07    2.895268e-01           1.093           8.123    1.000000e-21            95.0             2.0            1.02              30             2.0 
