           age              Cs          Omega0           tstar       R_env_max       theta_cav  rho_cav_center    rho_cav_edge           rstar      M_disk_dot          M_disk            beta            h100         rho_cav      percentile        absolute        relative      view_angle
# Envelope parameters
# 0.1 km/s
  1.000000e+04    1.000000e-01    1.000000e-13    5.267000e+03    1.000000e+04    3.000000e+01    5.270000e-18    2.000000e+01    5.000000e+00    6.500000e-07    5.000000e-01    1.093000e+00    8.123000e+00    1.000000e-21    9.500000e+01    2.000000e+00    1.020000e+00            60.0
  2.500000e+04    1.000000e-01    1.000000e-13    5.267000e+03    1.000000e+04    3.000000e+01    5.270000e-18    2.000000e+01    5.000000e+00    6.500000e-07    5.000000e-01    1.093000e+00    8.123000e+00    1.000000e-21    9.500000e+01    2.000000e+00    1.020000e+00            60.0
  5.000000e+04    1.000000e-01    1.000000e-13    5.267000e+03    1.000000e+04    3.000000e+01    5.270000e-18    2.000000e+01    5.000000e+00    6.500000e-07    5.000000e-01    1.093000e+00    8.123000e+00    1.000000e-21    9.500000e+01    2.000000e+00    1.020000e+00            60.0
  7.500000e+04    1.000000e-01    1.000000e-13    5.267000e+03    1.000000e+04    3.000000e+01    5.270000e-18    2.000000e+01    5.000000e+00    6.500000e-07    5.000000e-01    1.093000e+00    8.123000e+00    1.000000e-21    9.500000e+01    2.000000e+00    1.020000e+00            60.0
  1.000000e+05    1.000000e-01    1.000000e-13    5.267000e+03    1.000000e+04    3.000000e+01    5.270000e-18    2.000000e+01    5.000000e+00    6.500000e-07    5.000000e-01    1.093000e+00    8.123000e+00    1.000000e-21    9.500000e+01    2.000000e+00    1.020000e+00            60.0
# 0.2 km/s
  1.000000e+04    2.000000e-01    1.000000e-13    5.267000e+03    1.000000e+04    3.000000e+01    5.270000e-18    2.000000e+01    5.000000e+00    6.500000e-07    5.000000e-01    1.093000e+00    8.123000e+00    1.000000e-21    9.500000e+01    2.000000e+00    1.020000e+00            60.0
  2.500000e+04    2.000000e-01    1.000000e-13    5.267000e+03    1.000000e+04    3.000000e+01    5.270000e-18    2.000000e+01    5.000000e+00    6.500000e-07    5.000000e-01    1.093000e+00    8.123000e+00    1.000000e-21    9.500000e+01    2.000000e+00    1.020000e+00            60.0
  5.000000e+04    2.000000e-01    1.000000e-13    5.267000e+03    1.000000e+04    3.000000e+01    5.270000e-18    2.000000e+01    5.000000e+00    6.500000e-07    5.000000e-01    1.093000e+00    8.123000e+00    1.000000e-21    9.500000e+01    2.000000e+00    1.020000e+00            60.0
  7.500000e+04    2.000000e-01    1.000000e-13    5.267000e+03    1.000000e+04    3.000000e+01    5.270000e-18    2.000000e+01    5.000000e+00    6.500000e-07    5.000000e-01    1.093000e+00    8.123000e+00    1.000000e-21    9.500000e+01    2.000000e+00    1.020000e+00            60.0
  1.000000e+05    2.000000e-01    1.000000e-13    5.267000e+03    1.000000e+04    3.000000e+01    5.270000e-18    2.000000e+01    5.000000e+00    6.500000e-07    5.000000e-01    1.093000e+00    8.123000e+00    1.000000e-21    9.500000e+01    2.000000e+00    1.020000e+00            60.0
# 0.3 km/s
